Dates,SP1 Index,GX1 Index,Z1 Index,NK1 Index,SP1 Index_position,GX1 Index_position,Z1 Index_position,NK1 Index_position,Risk_Index,SP1 Index_returns,GX1 Index_returns,Z1 Index_returns,NK1 Index_returns,SP1 Index_strat,GX1 Index_strat,Z1 Index_strat,NK1 Index_strat,Total
1991-01-28,336.75,934.54179,4232.61,180.25719,0.0,0.0,0.0,0.0,1.8960890591569726,-0.0034033737792245056,0.0010548257334674904,0.00924186386211634,-0.003651547426339774,-0.0,0.0,0.0,-0.0,0.0
1991-01-29,336.7,933.78151,4211.85,181.09937,0.0,0.0,0.0,0.0,1.9906374701973006,-0.00014847809948037582,-0.0008135323729075994,-0.004904775067865796,0.004672102122528221,-0.0,-0.0,-0.0,0.0,0.0
1991-01-30,342.25,946.73367,4300.722,180.85106,0.0,0.0,0.0,0.0,1.7956448508423364,0.016483516483516425,0.013870653746399286,0.021100466540830976,-0.0013711256974554553,0.0,0.0,0.0,-0.0,0.0
1991-01-31,344.65,957.05107,4347.07,179.30772,0.0,0.0,0.0,0.0,1.890627094529875,0.007012417823228478,0.010897890639085528,0.010776795152069862,-0.00853376253365612,0.0,0.0,0.0,-0.0,0.0
1991-02-01,343.4,974.78705,4338.198,179.15557,0.0,0.0,0.0,0.0,1.9958225734354993,-0.0036268678369359986,0.01853190551262851,-0.002040914915103609,-0.0008485412674924531,-0.0,0.0,-0.0,-0.0,0.0
1991-02-04,348.95,986.20878,4373.1705,180.57675,0.0,0.0,0.0,0.0,1.805324374849274,0.016161910308677863,0.011717154018408449,0.008061526928923035,0.007932658750157806,0.0,0.0,0.0,0.0,0.0
1991-02-05,352.8,988.37607,4469.1775,185.77045,0.0,0.0,0.0,0.0,1.5948801187704724,0.011033099297893756,0.0021975975513013335,0.021953637526823888,0.02876173150751682,0.0,0.0,0.0,0.0,0.0
1991-02-06,359.85,988.49228,4472.0395,188.15738,0.0,0.0,0.0,0.0,1.7540622738599279,0.01998299319727903,0.00011757670336964843,0.0006403862903185953,0.012848814222067961,0.0,0.0,0.0,0.0,0.0
1991-02-07,357.9,994.83293,4568.2825,190.69949,0.0,0.0,0.0,0.0,1.8066174659891931,-0.005418924551896742,0.00641446587726513,0.021521053201788654,0.013510551645649072,-0.0,0.0,0.0,0.0,0.0
1991-02-08,360.7,1015.78586,4542.876,191.24316,0.0,0.0,0.0,0.0,1.8960013210801043,0.007823414361553649,0.0210617575757166,-0.005561499316209084,0.002850925296129514,0.0,0.0,-0.0,0.0,0.0
1991-02-11,369.9,1041.52249,4596.55,191.24316,0.0,0.0,0.0,0.0,1.723033139429313,0.025505960632104197,0.025336668892004477,0.011814982403217655,0.0,0.0,0.0,0.0,0.0,0.0
1991-02-12,366.3,1019.74816,4554.0,195.86906,0.0,0.0,0.0,0.0,1.9408080379675958,-0.009732360097323478,-0.020906250425759,-0.009256942707030258,0.02418857751566117,-0.0,-0.0,-0.0,0.0,0.0
1991-02-13,370.25,1023.74091,4571.772,196.15742,0.0,0.0,0.0,0.0,1.876661236662549,0.010783510783510808,0.003915427511043568,0.003902503293807591,0.0014722080148850125,0.0,0.0,0.0,0.0,0.0
1991-02-14,365.35,1018.89109,4593.939,195.9168,0.0,0.0,0.0,0.0,1.945928117795857,-0.013234301147873051,-0.004737350976820931,0.004848666993892081,-0.0012266678466713588,-0.0,-0.0,0.0,-0.0,0.0
1991-02-15,369.45,1042.32983,4582.668,194.94059,0.0,0.0,0.0,0.0,1.9745240807976405,0.011222115779389474,0.023004166225459866,-0.002453450078462205,-0.004982778403893939,0.0,0.0,-0.0,-0.0,0.0
1991-02-18,369.45,1071.38047,4596.9035,201.91718,0.0,0.0,0.0,0.0,1.6861122652786735,0.0,0.027870870778014867,0.0031063782058837752,0.03578828811383006,0.0,0.0,0.0,0.0,0.0
1991-02-19,370.15,1068.65372,4552.064,201.06423,0.0,0.0,0.0,0.0,2.079917573982893,0.001894708350250296,-0.002545080927226606,-0.009754283508453088,-0.004224256697721307,0.0,-0.0,-0.0,-0.0,0.0
1991-02-20,366.5,1046.88439,4514.25,199.92413,0.0,0.0,0.0,0.0,2.07067647065091,-0.00986086721599344,-0.02037079887767579,-0.00830700095604986,-0.005670327337687131,-0.0,-0.0,-0.0,-0.0,-0.0
1991-02-21,365.9,1061.03286,4568.805,199.77169,0.0,0.0,0.0,0.0,1.925882170837145,-0.0016371077762620256,0.013514835195890251,0.012085063964113685,-0.0007624892502969827,-0.0,0.0,0.0,-0.0,0.0
1991-02-22,366.85,1056.79176,4546.241,197.882,0.0,0.0,0.0,0.0,2.0670056124189524,0.002596337797212467,-0.003997142934856868,-0.004938709356166471,-0.009459248204788162,0.0,-0.0,-0.0,-0.0,0.0
1991-02-25,368.05,1059.44171,4527.6,198.87514,0.0,0.0,0.0,0.0,1.8603364145720551,0.003271091726863906,0.002507542261684481,-0.004100310564266074,0.005018849617448584,0.0,0.0,-0.0,0.0,0.0
1991-02-26,363.8,1025.0,4486.5726,199.92473,0.0,0.0,0.0,0.0,2.092641921785317,-0.011547344110854452,-0.03250930152636722,-0.009061622051417917,0.005277632991232739,-0.0,-0.0,-0.0,0.0,0.0
1991-02-27,369.1,1035.15112,4550.455,198.3821,0.0,0.0,0.0,0.0,1.8594205557596073,0.014568444200109942,0.00990353170731706,0.014238574897907474,-0.007716053936899114,0.0,0.0,0.0,-0.0,0.0
1991-02-28,366.8,1016.71035,4571.1135,198.94697,0.0,0.0,0.0,0.0,1.8511573337983958,-0.006231373611487401,-0.017814567983078677,0.004539875682761485,0.0028473839121572198,-0.0,-0.0,0.0,0.0,0.0
1991-03-01,371.25,987.31707,4537.3482,192.86511,0.0,0.0,0.0,0.0,2.187034681566624,0.0121319520174481,-0.028910180760921778,-0.00738666847804148,-0.03057025698858351,0.0,-0.0,-0.0,-0.0,0.0
